#t	#pc00001	#pc00002	#pc00003
158	-0.006690	 0.010096	-0.017821
159	-0.005382	 0.019934	 0.024815
160	-0.024176	-0.025195	 0.001465
161	-0.028696	 0.027909	 0.003604
162	 0.029214	-0.022600	 0.007394
163	-0.024747	 0.003372	 0.027368
164	 0.011976	 0.010750	 0.013268
165	-0.005219	-0.022068	 0.005239
166	 0.028226	-0.011557	 0.002376
167	 0.003414	-0.006539	-0.036877
168	 0.009423	 0.027607	 0.031480
169	-0.035087	-0.017216	-0.006643
170	 0.021896	-0.019286	-0.031586
171	 0.030733	-0.021092	 0.002799
172	-0.018560	 0.041941	 0.032490
173	 0.047223	-0.036788	 0.007298
174	 0.002150	-0.007918	 0.016735
175	-0.020772	 0.012074	 0.001476
176	-0.015027	-0.030690	 0.004291
177	 0.028701	 0.019253	 0.025297
178	-0.000801	 0.012067	 0.007854
179	 0.012094	-0.032720	 0.011142
180	 0.023260	-0.024271	 0.012740
181	 0.009570	 0.032385	-0.002872
182	-0.005910	 0.053777	 0.011863
183	-0.003465	 0.014951	 0.022197
184	-0.035793	 0.000290	-0.013016
185	 0.004925	 0.000697	 0.033523
186	-0.019815	-0.019536	-0.026669
187	 0.007584	-0.032508	-0.012095
188	 0.007995	-0.010046	-0.018095
189	-0.010194	 0.003167	-0.003735
190	 0.030688	-0.025582	 0.027960
191	-0.004012	-0.010480	-0.006137
192	 0.034410	-0.008009	-0.002453
193	-0.016605	 0.018744	-0.002085
194	 0.014814	-0.019946	 0.022655
195	-0.022018	 0.016584	 0.028881
196	-0.026270	 0.012093	-0.003328
197	-0.007382	-0.032788	 0.039328
198	 0.018742	-0.000634	-0.001235
199	-0.018194	 0.026378	-0.004884
200	 0.016065	-0.045857	 0.003308
201	-0.007712	 0.008106	 0.024335
202	 0.015519	-0.023595	-0.027253
203	-0.002013	 0.019040	 0.022398
204	-0.020242	 0.030737	-0.009178
205	-0.026424	 0.066978	 0.019164
206	-0.034929	-0.010290	-0.013157
207	 0.020367	 0.008063	 0.009181
208	 0.035180	-0.018737	 0.015560
209	-0.032264	 0.032242	 0.017580
210	-0.020098	 0.010015	-0.012073
211	-0.002936	 0.010996	 0.001390
212	-0.034757	 0.006595	 0.008192
213	-0.010488	 0.038384	 0.005355
214	 0.001060	 0.003967	 0.001323
215	-0.026312	 0.011915	-0.002394
216	-0.017779	-0.022582	-0.003247
217	 0.006327	 0.048116	-0.050864
218	 0.004992	-0.002726	 0.002108
219	-0.005775	 0.005310	-0.009179
220	-0.023353	-0.024734	-0.012209
221	 0.023152	-0.009910	-0.008686
222	 0.016901	-0.013184	 0.003881
223	 0.032786	-0.034064	 0.023719
224	 0.035637	 0.013320	-0.010549
225	-0.019274	-0.001533	 0.003765
226	 0.023731	-0.015017	-0.022832
227	 0.010294	-0.021787	-0.017136
228	 0.048144	-0.035374	 0.006579
229	 0.029299	-0.054214	 0.000784
230	 0.007317	 0.005658	-0.028563
231	-0.022490	 0.003237	-0.001404
232	-0.011248	 0.022395	 0.007982
233	 0.013146	-0.000637	-0.002929
234	 0.013468	 0.001303	-0.024967
235	 0.027796	-0.015424	-0.010972
236	 0.023927	-0.016417	-0.016919
237	-0.022038	 0.006293	 0.007459
238	-0.007149	-0.017776	-0.003149
239	-0.009856	-0.022129	-0.006943
240	-0.004594	-0.002632	-0.039581
241	-0.015988	-0.026365	 0.003750
242	-0.000708	 0.024813	-0.009472
243	-0.028701	 0.022606	 0.009792
244	-0.002421	-0.007990	-0.023478
245	-0.012482	-0.017336	 0.025448
246	-0.004214	 0.021534	 0.030384
247	-0.002476	-0.002816	-0.006676
248	 0.008118	-0.010592	 0.003928
249	-0.021555	 0.012425	 0.020389
250	-0.009182	 0.017024	 0.026533
