#t	#pc00001	#pc00002	#pc00003
158	 0.030392	 0.003471	-0.008826
159	 0.009530	 0.017073	 0.045674
160	-0.009826	 0.012571	-0.008785
161	 0.007673	-0.018072	 0.022861
162	-0.032926	 0.000064	 0.012013
163	 0.003745	-0.020869	 0.029168
164	 0.028708	-0.015787	-0.013513
165	-0.051904	 0.010261	 0.007484
166	 0.036074	-0.013626	 0.007087
167	 0.030644	 0.032572	-0.033488
168	-0.015664	 0.002612	-0.011520
169	-0.030706	 0.006179	-0.006492
170	-0.001629	 0.012127	 0.006168
171	-0.035385	-0.008864	-0.013057
172	 0.023629	 0.040410	-0.023155
173	-0.009605	 0.000557	 0.020513
174	-0.005805	-0.012319	 0.006311
175	 0.000852	-0.019338	 0.011480
176	 0.034659	 0.004246	 0.002121
177	 0.071083	 0.023421	 0.018880
178	-0.034700	-0.015541	-0.004100
179	 0.009805	-0.014074	-0.019887
180	-0.009884	-0.005064	-0.015649
181	 0.003687	 0.001268	 0.000171
182	-0.010342	 0.013438	 0.017956
183	 0.035465	 0.003316	 0.021329
184	-0.008211	-0.007453	 0.016801
185	 0.011870	-0.021802	 0.011834
186	 0.028756	 0.011892	-0.002755
187	 0.005172	-0.022467	-0.021483
188	 0.046199	-0.013053	 0.008049
189	 0.007700	-0.017315	-0.002604
190	 0.005529	 0.008703	 0.016025
191	 0.023172	-0.017392	-0.001788
192	 0.023205	 0.007592	 0.030760
193	-0.023877	-0.018238	-0.010284
194	-0.001156	-0.011307	-0.024299
195	 0.021476	 0.017662	 0.001116
196	-0.053240	-0.023906	-0.008371
197	 0.019894	 0.037251	 0.003470
198	-0.039903	 0.040497	 0.015044
199	 0.046927	-0.007646	-0.016875
200	-0.012455	-0.009008	-0.008393
201	 0.003846	 0.013663	 0.000343
202	-0.001997	-0.011233	-0.001430
203	 0.000219	 0.022461	-0.001021
204	-0.035672	 0.014374	 0.018008
205	-0.038270	-0.006894	-0.005003
206	-0.033496	-0.008768	 0.025693
207	 0.011824	 0.009855	 0.047919
208	-0.015843	 0.005104	 0.003951
209	 0.016934	-0.026928	-0.017107
210	-0.015458	 0.005834	-0.018646
211	 0.033671	 0.004411	-0.014783
212	 0.005040	-0.007636	-0.006457
213	 0.079768	 0.037553	 0.019211
214	 0.017634	 0.012336	 0.004525
215	 0.055842	-0.002118	 0.032586
216	-0.060330	-0.001534	-0.006480
217	 0.006953	-0.012734	-0.001365
218	 0.112300	-0.011111	 0.066007
219	 0.010913	-0.035704	-0.013336
220	-0.016625	 0.034878	 0.029303
221	 0.024103	-0.003106	-0.012688
222	 0.007927	-0.041371	-0.026836
223	-0.026625	-0.029883	-0.014716
224	 0.013452	 0.015497	-0.005618
225	-0.002979	-0.044960	-0.001429
226	 0.002459	-0.013862	-0.006907
227	 0.008447	 0.010408	 0.005297
228	 0.053999	 0.006522	-0.027037
229	-0.038144	 0.016425	 0.015719
230	 0.001143	-0.018247	-0.025266
231	-0.037101	 0.007460	 0.000358
232	-0.008446	 0.007792	 0.010791
233	 0.006341	-0.029801	-0.026811
234	-0.012391	 0.031110	-0.002656
235	 0.013608	-0.009760	-0.010475
236	 0.052788	-0.017835	 0.003950
237	-0.003499	-0.007038	 0.026127
238	 0.036809	-0.024452	 0.009422
239	 0.025390	-0.005433	-0.028372
240	 0.037045	-0.009758	 0.019071
241	 0.027287	 0.033142	-0.021055
242	-0.010708	 0.009226	-0.028529
243	-0.043962	 0.003035	 0.000833
244	 0.021449	 0.010794	-0.001951
245	-0.014800	 0.024350	 0.024075
246	 0.029130	 0.018319	 0.023804
247	-0.020445	-0.009342	 0.009176
248	-0.046203	-0.015514	 0.011395
249	-0.001590	-0.012143	-0.005236
250	 0.027107	-0.025741	-0.010040
251	 0.011512	-0.010952	-0.001180
252	 0.006398	 0.006307	-0.005236
253	-0.018873	 0.015323	-0.009419
