0.000120594 -1.73629e-05 2.55335e-05
1.7627e-05 -5.79103e-06 -6.11472e-06
7.96509e-06 -4.64694e-06 -9.08902e-05
-9.86673e-06 2.12744e-06 1.10485e-05
-4.55537e-05 1.09767e-05 3.65718e-05
8.02709e-06 1.2133e-07 -1.0745e-06
1.42764e-05 -4.13094e-06 -3.42189e-07
2.47217e-05 -7.08844e-05 8.50766e-06
-3.38826e-05 2.69791e-05 8.95364e-06
-6.24656e-05 3.28506e-06 2.84376e-05
-4.14433e-05 5.93258e-05 -2.06318e-05
-1.73629e-05 4.22784e-05 -4.169e-06
-8.84391e-06 4.04685e-08 -7.001e-06
-1.04079e-05 -1.47484e-05 5.15886e-06
6.05445e-06 -6.89124e-06 -1.42353e-05
3.13914e-05 -1.33181e-05 -3.24652e-05
-1.19774e-05 -6.52125e-06 3.70007e-06
-1.62954e-05 -1.66911e-06 6.5484e-06
-2.12668e-05 1.91583e-05 2.40103e-06
1.03158e-05 -5.04222e-06 1.25673e-05
2.15286e-05 -5.76502e-06 -1.12759e-05
1.68649e-05 -7.52161e-06 3.87708e-05
2.55335e-05 -4.169e-06 3.75816e-05
-1.23174e-05 -1.14762e-06 1.48889e-05
-1.92978e-05 -1.33211e-05 -3.44067e-05
3.01633e-06 6.84336e-07 8.46898e-07
2.33889e-05 3.79969e-06 -1.28959e-05
4.90702e-06 1.08913e-06 -2.09506e-06
-4.91631e-06 7.60368e-06 1.78129e-06
-4.80288e-06 8.75596e-06 1.19008e-05
-3.86769e-06 2.8556e-06 -2.3298e-06
-7.03445e-06 -7.28989e-06 -1.4742e-05
-4.60908e-06 1.13824e-06 -5.31036e-07
1.7627e-05 -8.84391e-06 -1.23174e-05
3.37955e-05 3.95198e-06 -5.0205e-06
3.54768e-05 1.59778e-05 -1.28674e-06
-5.95711e-06 5.16354e-06 8.99692e-06
-4.71553e-05 2.95126e-06 3.60808e-05
-4.54423e-06 6.00933e-06 1.78449e-06
1.33998e-05 -7.14273e-06 -4.74831e-06
1.81339e-05 -4.37522e-05 -1.3086e-05
-1.37251e-05 5.4301e-06 -3.14601e-06
-2.99403e-05 -5.41391e-06 1.04181e-05
-1.71113e-05 2.56685e-05 -1.7675e-05
-5.79103e-06 4.04685e-08 -1.14762e-06
3.95198e-06 1.40021e-05 4.87296e-06
3.82343e-06 8.41518e-06 1.19697e-05
-7.14286e-07 4.29184e-06 -3.535e-08
3.65498e-07 -3.99396e-06 -2.18498e-06
-5.68083e-06 4.79117e-06 1.37936e-06
5.70998e-07 -3.33498e-06 -1.56561e-06
7.84448e-08 -1.02285e-05 -1.08916e-05
1.28765e-06 -4.10447e-06 -1.12237e-06
2.91869e-06 -8.09262e-08 4.40761e-06
-8.10569e-07 -9.79795e-06 -5.6818e-06
-6.11472e-06 -7.001e-06 1.48889e-05
-5.0205e-06 4.87296e-06 2.106e-05
-8.34019e-06 -2.23145e-06 3.80556e-06
2.52032e-06 3.6116e-06 3.84565e-06
1.33481e-05 1.89513e-06 -4.41339e-06
