    #t	      pc1	      pc2	      pc3
2760.0	-0.022120	-0.017390	 0.008040
2780.0	-0.011480	-0.036800	 0.005640
2800.0	-0.013800	-0.010150	 0.020580
2820.0	 0.014350	 0.003240	-0.011980
2840.0	 0.014650	 0.005410	 0.005570
2860.0	-0.002050	 0.005560	 0.007160
2880.0	 0.001160	 0.019250	-0.015850
2900.0	-0.037550	 0.023430	-0.008860
2920.0	-0.025240	 0.002390	-0.027190
2940.0	-0.009180	-0.026020	 0.013600
2960.0	-0.018640	-0.022350	-0.015630
2980.0	 0.027390	-0.027930	 0.014420
3000.0	 0.009940	-0.018470	 0.023600
3020.0	-0.036730	-0.015220	-0.018710
3040.0	 0.009900	-0.008790	 0.013500
3060.0	-0.052090	-0.028400	-0.008800
3080.0	-0.042850	 0.007700	 0.010590
3100.0	 0.047490	 0.013970	-0.016610
3120.0	-0.051510	 0.004870	-0.022890
3140.0	-0.017040	 0.002880	 0.001360
3160.0	 0.030390	-0.003470	 0.008830
3180.0	 0.009530	-0.017070	-0.045670
3200.0	-0.009830	-0.012570	 0.008790
3220.0	 0.007670	 0.018070	-0.022860
3240.0	-0.032930	-0.000060	-0.012010
3260.0	 0.003740	 0.020870	-0.029170
3280.0	 0.028710	 0.015790	 0.013520
3300.0	-0.051900	-0.010260	-0.007480
3320.0	 0.036070	 0.013630	-0.007090
3340.0	 0.030650	-0.032570	 0.033490
3360.0	-0.015660	-0.002610	 0.011520
3380.0	-0.030710	-0.006180	 0.006490
3400.0	-0.001630	-0.012130	-0.006170
3420.0	-0.035390	 0.008860	 0.013060
3440.0	 0.023630	-0.040410	 0.023150
3460.0	-0.009610	-0.000560	-0.020510
3480.0	-0.005810	 0.012320	-0.006310
3500.0	 0.000850	 0.019340	-0.011480
3520.0	 0.034660	-0.004250	-0.002120
3540.0	 0.071080	-0.023420	-0.018880
3560.0	-0.034700	 0.015540	 0.004100
3580.0	 0.009810	 0.014070	 0.019890
3600.0	-0.009880	 0.005060	 0.015650
3620.0	 0.003690	-0.001270	-0.000170
3640.0	-0.010340	-0.013440	-0.017960
3660.0	 0.035470	-0.003310	-0.021330
3680.0	-0.008210	 0.007450	-0.016800
3700.0	 0.011870	 0.021800	-0.011830
3720.0	 0.028760	-0.011890	 0.002750
3740.0	 0.005170	 0.022470	 0.021480
3760.0	 0.046200	 0.013050	-0.008050
3780.0	 0.007700	 0.017320	 0.002600
3800.0	 0.005530	-0.008700	-0.016020
3820.0	 0.023170	 0.017390	 0.001790
3840.0	 0.023210	-0.007590	-0.030760
3860.0	-0.023880	 0.018240	 0.010280
3880.0	-0.001160	 0.011310	 0.024300
3900.0	 0.021480	-0.017660	-0.001120
3920.0	-0.053240	 0.023910	 0.008370
3940.0	 0.019890	-0.037250	-0.003470
3960.0	-0.039900	-0.040490	-0.015040
3980.0	 0.046930	 0.007650	 0.016870
4000.0	-0.012450	 0.009010	 0.008390
4020.0	 0.003850	-0.013660	-0.000340
4040.0	-0.002000	 0.011230	 0.001430
4060.0	 0.000220	-0.022460	 0.001020
4080.0	-0.035670	-0.014370	-0.018010
4100.0	-0.038270	 0.006890	 0.005000
4120.0	-0.033500	 0.008770	-0.025690
4140.0	 0.011820	-0.009850	-0.047920
4160.0	-0.015840	-0.005100	-0.003950
4180.0	 0.016930	 0.026930	 0.017110
4200.0	-0.015460	-0.005830	 0.018650
4220.0	 0.033670	-0.004410	 0.014780
4240.0	 0.005040	 0.007640	 0.006460
4260.0	 0.079770	-0.037550	-0.019210
4280.0	 0.017630	-0.012330	-0.004530
4300.0	 0.055840	 0.002120	-0.032590
4320.0	-0.060330	 0.001530	 0.006480
4340.0	 0.006950	 0.012730	 0.001370
4360.0	 0.112300	 0.011120	-0.066010
4380.0	 0.010910	 0.035700	 0.013340
4400.0	-0.016620	-0.034880	-0.029300
4420.0	 0.024100	 0.003110	 0.012690
4440.0	 0.007930	 0.041370	 0.026840
4460.0	-0.026620	 0.029880	 0.014720
4480.0	 0.013450	-0.015500	 0.005620
4500.0	-0.002980	 0.044960	 0.001430
4520.0	 0.002460	 0.013860	 0.006910
4540.0	 0.008450	-0.010410	-0.005300
4560.0	 0.054000	-0.006520	 0.027040
4580.0	-0.038140	-0.016420	-0.015720
4600.0	 0.001140	 0.018250	 0.025260
4620.0	-0.037100	-0.007460	-0.000360
4640.0	-0.008450	-0.007790	-0.010790
4660.0	 0.006340	 0.029800	 0.026810
4680.0	-0.012390	-0.031110	 0.002650
4700.0	 0.013610	 0.009760	 0.010470
4720.0	 0.052790	 0.017840	-0.003950
4740.0	-0.003500	 0.007040	-0.026130
4760.0	 0.036810	 0.024450	-0.009420
4780.0	 0.025390	 0.005430	 0.028370
4800.0	 0.037040	 0.009760	-0.019070
4820.0	 0.027290	-0.033140	 0.021050
4840.0	-0.010710	-0.009230	 0.028530
4860.0	-0.043960	-0.003030	-0.000830
4880.0	 0.021450	-0.010790	 0.001950
4900.0	-0.014800	-0.024350	-0.024080
4920.0	 0.029130	-0.018320	-0.023800
4940.0	-0.020440	 0.009340	-0.009180
4960.0	-0.046200	 0.015520	-0.011390
4980.0	-0.001590	 0.012140	 0.005240
